Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Afganistán,AFG,53.2
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Albania,ALB,68.7
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Argelia,DZA,64.9
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Samoa Americana,ASM,NA
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Andorra,AND,NA
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Angola,AGO,50.7
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Antigua y Barbuda,ATG,69.2
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Argentina,ARG,64.1
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Armenia,ARM,68.8
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Aruba,ABW,69.1
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Australia,AUS,65.9
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Austria,AUT,66.9
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Azerbaiyán,AZE,71.0
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bahamas,BHS,69.8
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bahrein,BHR,77.3
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bangladesh,BGD,66.1
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Barbados,BRB,67.0
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Belarús,BLR,69.1
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bélgica,BEL,64.6
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Belice,BLZ,64.0
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Benin,BEN,53.9
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bermudas,BMU,NA
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bhután,BTN,67.4
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bolivia,BOL,61.1
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Bosnia y Herzegovina,BIH,70.0
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Botswana,BWA,61.3
Población entre 15 y 64 años de edad (% del total),SP.POP.1564.TO.ZS,Brasil,BRA,69.6
